Designator,Comment,Footprint,JLCPCB Part #
AE1,2450AT18B100,2450AT18B100,C2917717
"C1,C2,C4,C6,C7,C32,C46",100nF,201,C76934
"C8,C9,C20,C30,C43,C45,C47",1uF,402,C29266
"C10,C16",4.7uf,Capacitor_SMD:C_0201_0603Metric,C335103
C11,.7pF,Capacitor_SMD:C_0201_0603Metric,C907945
C13,2.2pF,Capacitor_SMD:C_0201_0603Metric,C5182465
C21,.7pF,Resistor_SMD:R_0201_0603Metric,C907945
C25,10nF,Capacitor_SMD:C_0402_1005Metric,C15195
C27,100nF,Capacitor_SMD:C_0402_1005Metric,C77020
C44,2.2nF,Capacitor_SMD:C_0201_0603Metric,C161488
D2,WS2812B-2020,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555
J6,u.fl,Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical,C434808
L1,4.7nh,Inductor_SMD:L_0201_0603Metric,C86126
L4,2.2nH,Inductor_SMD:L_0201_0603Metric,C2043966
L5,120R,Inductor_SMD:L_0402_1005Metric,C76891
P1,DX07P024AJ1R1500,DX07P024AJ1R1500,C5352764
R1,2.2,Resistor_SMD:R_0201_0603Metric,C473517
R3,10K,Resistor_SMD:R_0201_0603Metric,C106225
"R4,R5",5.1K,Resistor_SMD:R_0201_0603Metric, C274341
SW3,Reset,Button_Switch_SMD:SW_SPST_B3U-1000P,C231329
U1,nRF5340-CLXX,LyndLabs:NRF5340-4x4,C3606597
U2,USBLC6-2P6,Package_TO_SOT_SMD:SOT-666,C15999
U3,BGS12P2L6E6327,XFDFN-6,C3312945
Y1,32MHz,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,C2965584
