"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"AE1","2450AT18B100","LyndLabs:2450AT18B100","~","1","","",""
"C1,C2,C3,C4,C5,C6,C7,C32,C46","100nF","Capacitor_SMD:C_0201_0603Metric","~","9","","",""
"C8,C9,C20,C30,C43,C45,C47","1uF","Capacitor_SMD:C_0402_1005Metric","~","7","","",""
"C10,C16","4.7uf","Capacitor_SMD:C_0201_0603Metric","~","2","","",""
"C11",".7pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C13","2.2pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C18","NC","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C21",".7pF","Resistor_SMD:R_0201_0603Metric","~","1","","",""
"C22,C23","12pf","Resistor_SMD:R_0201_0603Metric","~","2","","",""
"C24","4.7nF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C25","10nF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C27","100nF","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"C41,C42","300pF","Capacitor_SMD:C_0201_0603Metric","~","2","","",""
"C44","2.2nF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"D1","PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf","1","","",""
"D2","WS2812B-2020","LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm","https://cdn-shop.adafruit.com/product-files/4684/4684_WS2812B-2020_V1.3_EN.pdf","1","","",""
"J1","Molex 51281-0594","LyndLabs:MOLEX_51281-0594","~","1","","",""
"J3","SWD","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf","1","","Excluded from BOM",""
"J6","u.fl","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","~","1","","",""
"L1","4.7nh","Inductor_SMD:L_0201_0603Metric","~","1","","",""
"L4","2.2nH","Inductor_SMD:L_0201_0603Metric","~","1","","",""
"L5","120R","Inductor_SMD:L_0402_1005Metric","~","1","","",""
"P1","USB_C_Plug","Capacitor_SMD:C_0201_0603Metric","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"R1","2.2","Resistor_SMD:R_0201_0603Metric","~","1","","",""
"R2","1M0","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R3","10K","Resistor_SMD:R_0201_0603Metric","~","1","","",""
"R4,R5","5.1K","Resistor_SMD:R_0201_0603Metric","~","2","","",""
"R9","0","Resistor_SMD:R_0201_0603Metric","~","1","","",""
"SW1,SW2","SW_Push","Button_Switch_SMD:SW_SPST_EVQP7A","~","2","","",""
"SW3","Reset","Button_Switch_SMD:SW_SPST_B3U-1000P","~","1","","",""
"TP7,TP8","TestPoint_Probe","TestPoint:TestPoint_Pad_D1.0mm","~","2","","",""
"U1","nRF5340-CLXX","LyndLabs:NRF5340-4x4","https://docs-be.nordicsemi.com/bundle/ps_nrf5340/attach/nRF5340_PS_v1.5.pdf","1","","",""
"Y1","32MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","1","","",""
"Y2","32.768 KHz","Crystal:Crystal_SMD_TXC_9HT11-2Pin_2.0x1.2mm","~","1","","",""
