Ref,Val,Package,PosX,PosY,Rot,Side
AE1,2450AT18B100,2450AT18B100,10.5,-3.5,-90,top
C1,100nF,C_0201_0603Metric,-1.74,4.96,180,top
C2,100nF,C_0201_0603Metric,-4.47,4.95,0,top
C3,100nF,C_0201_0603Metric,-0.49,-1.47,90,top
C4,100nF,C_0201_0603Metric,0.07,4.54,-90,top
C6,100nF,C_0201_0603Metric,-5.26,2.44,-90,top
C8,1uF,C_0402_1005Metric,-4.55,-1.04,90,top
C9,1uF,C_0402_1005Metric,0.78,4.74,-90,top
C10,4.7uf,C_0201_0603Metric,-5.52,0.81,0,top
C11,.7pF,C_0201_0603Metric,10.4,1.03,45,top
C13,2.2pF,C_0201_0603Metric,9.27,1.11,180,top
C16,4.7uf,C_0201_0603Metric,-5.87,2.43,90,top
C18,NC,R_0201_0603Metric,2.485,2.83,90,top
C20,1uF,C_0402_1005Metric,-1.94,-1.27,90,top
C21,.7pF,C_0201_0603Metric,0.675001,2.84,90,top
C24,4.7nF,C_0402_1005Metric,-7.02,-1.89,0,top
C25,10nF,C_0402_1005Metric,-6.97,4.86,90,top
C27,100nF,C_0402_1005Metric,-6.05,4.87,90,top
C30,1uF,C_0402_1005Metric,-7.12,2.75,180,top
C32,100nF,C_0201_0603Metric,-6.91,2.08,180,top
C43,1uF,C_0402_1005Metric,-2.74,-1.26,-90,top
C44,2.2nF,C_0201_0603Metric,0.95,1.28,0,top
C45,1uF,C_0402_1005Metric,-3.72,-1.04,-90,top
C46,100nF,C_0201_0603Metric,-2.45,-0.12,0,top
C47,1uF,C_0402_1005Metric,-1.179998,-1.28,90,top
C47,1uF,C_0201_0603Metric,-5.24,4.05,-90,top
D1,PRTR5V0U2X,SOT-143,-7.5,0.07,90,top
D2,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,4.215,-1,180,top
J2,DX07P024AJ1R1500,JAE_DX07P024AJ1R1500,-12,0,-90,top
J6,u.fl,U.FL_Molex_MCRF_73412-0110_Vertical,9.11,3.77,-90,top
L1,4.7nh,L_0201_0603Metric,10.76,0.13,90,top
L4,2.2nH,L_0201_0603Metric,1.605,2.5,180,top
L5,120R,L_0402_1005Metric,-6.515,3.62,0,top
R1,2.2,R_0201_0603Metric,-5.52,1.33,180,top
R2,1M0,R_0402_1005Metric,-8.19,-2.75,180,top
R3,10K,R_0201_0603Metric,0.75,-4.18,90,top
R4,5.1K,R_0201_0603Metric,-8.5,1.89,0,top
R5,5.1K,R_0201_0603Metric,-8.47,-1.89,0,top
R9,0,R_0201_0603Metric,6.69,1.96,0,top
SW3,Reset,SW_SPST_B3U-1000P,3.4,-4.24,0,top
U1,nRF5340-CLXX,NRF5340-4x4,-2.6,2.5,180,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,1.18,-0.55,180,top
C41,300pF,C_0201_0603Metric,0.59,-0.66,90,bottom
C42,300pF,C_0201_0603Metric,0.570002,0.68,90,bottom
J1,Molex 51281-0594,MOLEX_51281-0594,1.5475,0,-90,bottom
SW1,SW_Push,SW_SPST_EVQP7A,3.23,4.6,0,bottom
SW2,SW_Push,SW_SPST_EVQP7A,3.23,-4.6,180,bottom
